TaskID,Task_Description,Keywords,Due_Days,Priority_Score
79,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
80,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
81,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
82,Pay utility bills,"Bills, Utilities, Household",1,3
83,Water the plants,"Gardening, Plants, Household",4,2
84,Book a routine health checkup,"Health, Checkup, Appointment",1,4
85,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
86,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
87,Consult a dietitian,"Dietitian, Health, Advice",1,4
88,Track daily water intake,"Hydration, Health, Tracking",4,2
89,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
90,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
91,Join a Zumba class,"Zumba, Dance, Exercises",2,6
92,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
93,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
94,Write in a journal,"Journaling, Writing, Personal",4,3
95,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
96,Call a family member,"Family, Personal, Communication",3,2
97,Organize digital photo albums,"Photos, Organizing, Personal",5,4
98,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
99,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
100,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
101,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
102,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
103,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
104,Draft an email to the client,"Email, Client, Work",1,5
105,Prepare a weekly progress report,"Progress Report, Work",2,7
106,Attend the project status meeting,"Meeting, Project, Work",3,6
107,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
108,Update the task management system,"Task Management, Updates, Work",4,5
109,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
110,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
111,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
112,Pay utility bills,"Bills, Utilities, Household",1,3
113,Water the plants,"Gardening, Plants, Household",4,2
114,Book a routine health checkup,"Health, Checkup, Appointment",1,4
115,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
116,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
117,Consult a dietitian,"Dietitian, Health, Advice",1,4
118,Track daily water intake,"Hydration, Health, Tracking",4,2
119,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
120,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
121,Join a Zumba class,"Zumba, Dance, Exercises",2,6
122,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
123,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
124,Write in a journal,"Journaling, Writing, Personal",4,3
125,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
126,Call a family member,"Family, Personal, Communication",3,2
127,Organize digital photo albums,"Photos, Organizing, Personal",5,4
128,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
129,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
130,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
131,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
132,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
133,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
134,Draft an email to the client,"Email, Client, Work",1,5
135,Prepare a weekly progress report,"Progress Report, Work",2,7
136,Attend the project status meeting,"Meeting, Project, Work",3,6
137,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
138,Update the task management system,"Task Management, Updates, Work",4,5
139,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
140,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
141,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
142,Pay utility bills,"Bills, Utilities, Household",1,3
143,Water the plants,"Gardening, Plants, Household",4,2
144,Book a routine health checkup,"Health, Checkup, Appointment",1,4
145,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
146,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
147,Consult a dietitian,"Dietitian, Health, Advice",1,4
148,Track daily water intake,"Hydration, Health, Tracking",4,2
149,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
150,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
151,Join a Zumba class,"Zumba, Dance, Exercises",2,6
152,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
153,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
154,Write in a journal,"Journaling, Writing, Personal",4,3
155,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
156,Call a family member,"Family, Personal, Communication",3,2
157,Organize digital photo albums,"Photos, Organizing, Personal",5,4
158,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
159,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
160,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
161,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
162,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
163,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
164,Draft an email to the client,"Email, Client, Work",1,5
165,Prepare a weekly progress report,"Progress Report, Work",2,7
166,Attend the project status meeting,"Meeting, Project, Work",3,6
167,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
168,Update the task management system,"Task Management, Updates, Work",4,5
169,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
170,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
171,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
172,Pay utility bills,"Bills, Utilities, Household",1,3
173,Water the plants,"Gardening, Plants, Household",4,2
174,Book a routine health checkup,"Health, Checkup, Appointment",1,4
175,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
176,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
177,Consult a dietitian,"Dietitian, Health, Advice",1,4
178,Track daily water intake,"Hydration, Health, Tracking",4,2
179,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
180,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
181,Join a Zumba class,"Zumba, Dance, Exercises",2,6
182,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
183,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
184,Write in a journal,"Journaling, Writing, Personal",4,3
185,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
186,Call a family member,"Family, Personal, Communication",3,2
187,Organize digital photo albums,"Photos, Organizing, Personal",5,4
188,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
189,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
190,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
191,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
192,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
193,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
194,Draft an email to the client,"Email, Client, Work",1,5
195,Prepare a weekly progress report,"Progress Report, Work",2,7
196,Attend the project status meeting,"Meeting, Project, Work",3,6
197,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
198,Update the task management system,"Task Management, Updates, Work",4,5
199,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
200,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
201,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
202,Pay utility bills,"Bills, Utilities, Household",1,3
203,Water the plants,"Gardening, Plants, Household",4,2
204,Book a routine health checkup,"Health, Checkup, Appointment",1,4
205,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
206,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
207,Consult a dietitian,"Dietitian, Health, Advice",1,4
208,Track daily water intake,"Hydration, Health, Tracking",4,2
209,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
210,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
211,Join a Zumba class,"Zumba, Dance, Exercises",2,6
212,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
213,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
214,Write in a journal,"Journaling, Writing, Personal",4,3
215,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
216,Call a family member,"Family, Personal, Communication",3,2
217,Organize digital photo albums,"Photos, Organizing, Personal",5,4
218,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
219,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
220,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
221,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
222,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
223,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
224,Draft an email to the client,"Email, Client, Work",1,5
225,Prepare a weekly progress report,"Progress Report, Work",2,7
226,Attend the project status meeting,"Meeting, Project, Work",3,6
227,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
228,Update the task management system,"Task Management, Updates, Work",4,5
229,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
230,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
231,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
232,Pay utility bills,"Bills, Utilities, Household",1,3
233,Water the plants,"Gardening, Plants, Household",4,2
234,Book a routine health checkup,"Health, Checkup, Appointment",1,4
235,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
236,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
237,Consult a dietitian,"Dietitian, Health, Advice",1,4
238,Track daily water intake,"Hydration, Health, Tracking",4,2
239,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
240,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
241,Join a Zumba class,"Zumba, Dance, Exercises",2,6
242,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
243,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
244,Write in a journal,"Journaling, Writing, Personal",4,3
245,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
246,Call a family member,"Family, Personal, Communication",3,2
247,Organize digital photo albums,"Photos, Organizing, Personal",5,4
248,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
249,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
250,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
251,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
252,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
253,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
254,Draft an email to the client,"Email, Client, Work",1,5
255,Prepare a weekly progress report,"Progress Report, Work",2,7
256,Attend the project status meeting,"Meeting, Project, Work",3,6
257,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
258,Update the task management system,"Task Management, Updates, Work",4,5
259,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
260,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
261,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
262,Pay utility bills,"Bills, Utilities, Household",1,3
263,Water the plants,"Gardening, Plants, Household",4,2
264,Book a routine health checkup,"Health, Checkup, Appointment",1,4
265,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
266,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
267,Consult a dietitian,"Dietitian, Health, Advice",1,4
268,Track daily water intake,"Hydration, Health, Tracking",4,2
269,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
270,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
271,Join a Zumba class,"Zumba, Dance, Exercises",2,6
272,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
273,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
274,Write in a journal,"Journaling, Writing, Personal",4,3
275,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
276,Call a family member,"Family, Personal, Communication",3,2
277,Organize digital photo albums,"Photos, Organizing, Personal",5,4
278,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
279,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
280,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
281,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
282,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
283,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
284,Draft an email to the client,"Email, Client, Work",1,5
285,Prepare a weekly progress report,"Progress Report, Work",2,7
286,Attend the project status meeting,"Meeting, Project, Work",3,6
287,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
288,Update the task management system,"Task Management, Updates, Work",4,5
289,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
290,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
291,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
292,Pay utility bills,"Bills, Utilities, Household",1,3
293,Water the plants,"Gardening, Plants, Household",4,2
294,Book a routine health checkup,"Health, Checkup, Appointment",1,4
295,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
296,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
297,Consult a dietitian,"Dietitian, Health, Advice",1,4
298,Track daily water intake,"Hydration, Health, Tracking",4,2
299,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
300,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
301,Join a Zumba class,"Zumba, Dance, Exercises",2,6
302,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
303,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
304,Write in a journal,"Journaling, Writing, Personal",4,3
305,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
306,Call a family member,"Family, Personal, Communication",3,2
307,Organize digital photo albums,"Photos, Organizing, Personal",5,4
308,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
309,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
310,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
311,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
312,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
313,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
314,Draft an email to the client,"Email, Client, Work",1,5
315,Prepare a weekly progress report,"Progress Report, Work",2,7
316,Attend the project status meeting,"Meeting, Project, Work",3,6
317,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
318,Update the task management system,"Task Management, Updates, Work",4,5
319,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
320,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
321,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
322,Pay utility bills,"Bills, Utilities, Household",1,3
323,Water the plants,"Gardening, Plants, Household",4,2
324,Book a routine health checkup,"Health, Checkup, Appointment",1,4
325,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
326,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
327,Consult a dietitian,"Dietitian, Health, Advice",1,4
328,Track daily water intake,"Hydration, Health, Tracking",4,2
329,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
330,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
331,Join a Zumba class,"Zumba, Dance, Exercises",2,6
332,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
333,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
334,Write in a journal,"Journaling, Writing, Personal",4,3
335,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
336,Call a family member,"Family, Personal, Communication",3,2
337,Organize digital photo albums,"Photos, Organizing, Personal",5,4
338,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
339,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
340,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
341,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
342,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
343,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
344,Draft an email to the client,"Email, Client, Work",1,5
345,Prepare a weekly progress report,"Progress Report, Work",2,7
346,Attend the project status meeting,"Meeting, Project, Work",3,6
347,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
348,Update the task management system,"Task Management, Updates, Work",4,5
349,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
350,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
351,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
352,Pay utility bills,"Bills, Utilities, Household",1,3
353,Water the plants,"Gardening, Plants, Household",4,2
354,Book a routine health checkup,"Health, Checkup, Appointment",1,4
355,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
356,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
357,Consult a dietitian,"Dietitian, Health, Advice",1,4
358,Track daily water intake,"Hydration, Health, Tracking",4,2
359,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
360,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
361,Join a Zumba class,"Zumba, Dance, Exercises",2,6
362,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
363,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
364,Write in a journal,"Journaling, Writing, Personal",4,3
365,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
366,Call a family member,"Family, Personal, Communication",3,2
367,Organize digital photo albums,"Photos, Organizing, Personal",5,4
368,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
369,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
370,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
371,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
372,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
373,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
374,Draft an email to the client,"Email, Client, Work",1,5
375,Prepare a weekly progress report,"Progress Report, Work",2,7
376,Attend the project status meeting,"Meeting, Project, Work",3,6
377,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
378,Update the task management system,"Task Management, Updates, Work",4,5
379,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
380,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
381,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
382,Pay utility bills,"Bills, Utilities, Household",1,3
383,Water the plants,"Gardening, Plants, Household",4,2
384,Book a routine health checkup,"Health, Checkup, Appointment",1,4
385,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
386,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
387,Consult a dietitian,"Dietitian, Health, Advice",1,4
388,Track daily water intake,"Hydration, Health, Tracking",4,2
389,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
390,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
391,Join a Zumba class,"Zumba, Dance, Exercises",2,6
392,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
393,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
394,Write in a journal,"Journaling, Writing, Personal",4,3
395,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
396,Call a family member,"Family, Personal, Communication",3,2
397,Organize digital photo albums,"Photos, Organizing, Personal",5,4
398,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
399,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
400,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
401,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
402,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
403,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
404,Draft an email to the client,"Email, Client, Work",1,5
405,Prepare a weekly progress report,"Progress Report, Work",2,7
406,Attend the project status meeting,"Meeting, Project, Work",3,6
407,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
408,Update the task management system,"Task Management, Updates, Work",4,5
409,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
410,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
411,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
412,Pay utility bills,"Bills, Utilities, Household",1,3
413,Water the plants,"Gardening, Plants, Household",4,2
414,Book a routine health checkup,"Health, Checkup, Appointment",1,4
415,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
416,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
417,Consult a dietitian,"Dietitian, Health, Advice",1,4
418,Track daily water intake,"Hydration, Health, Tracking",4,2
419,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
420,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
421,Join a Zumba class,"Zumba, Dance, Exercises",2,6
422,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
423,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
424,Write in a journal,"Journaling, Writing, Personal",4,3
425,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
426,Call a family member,"Family, Personal, Communication",3,2
427,Organize digital photo albums,"Photos, Organizing, Personal",5,4
428,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
429,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
430,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
431,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
432,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
433,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
434,Draft an email to the client,"Email, Client, Work",1,5
435,Prepare a weekly progress report,"Progress Report, Work",2,7
436,Attend the project status meeting,"Meeting, Project, Work",3,6
437,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
438,Update the task management system,"Task Management, Updates, Work",4,5
439,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
440,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
441,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
442,Pay utility bills,"Bills, Utilities, Household",1,3
443,Water the plants,"Gardening, Plants, Household",4,2
444,Book a routine health checkup,"Health, Checkup, Appointment",1,4
445,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
446,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
447,Consult a dietitian,"Dietitian, Health, Advice",1,4
448,Track daily water intake,"Hydration, Health, Tracking",4,2
449,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
450,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
